example_id,conversation_id,message_id,input_text,context,intent,escalation_expected,escalation_reason,difficulty,annotation_notes
gold_001,107270,107270,anyone having trouble with #Amazon  transactions not going through and not accepting password even if you done a reset @115830,,account_access,escalate,Password/auth failing.,medium,src=gold_010
gold_002,160410,160410,.@AmazonHelp I've talked to 10+ people on the phone over the last 2 months about my account. My account was hacked back in September and my account is now frozen and I'm unable to log in even after resetting my password multiple times. Nobody has any answers for me. RIDICULOUS,,account_access,escalate,Account security/access requires identity verification.,medium,src=gold_019
gold_003,179320,179313,@AmazonHelp Received an email from account specialist - reset password to get back in. Reset password and still getting password incorrect.,"brand: @158257 I can understand your frustration. Please contact us directly again so we may look into this: https://t.co/zYVX1Qi29G ^CR
customer: @AmazonHelp Yes, thanks I have done that already.
customer: @AmazonHelp Have sent another email just in case
brand: @158257 Great. Keep us posted. ^TP",account_access,escalate,Account security/access requires identity verification.,medium,src=gold_020
gold_004,288305,288305,someone hacked my amazon account and then ordered a floral dress to be delivered to my dads house...,,account_access,escalate,Account security/access requires identity verification.,medium,src=gold_035
gold_005,324458,324458,@AmazonHelp PLEASE HELP. my account has been hacked. i’ve sent a dm about all the info,,account_access,escalate,Account security/access requires identity verification.,medium,src=gold_041
gold_006,330163,330163,"@AmazonHelp parents added me with a teen account, I created new profile on my phone with my number, now I can't log in to amazon website",,account_access,escalate,Cannot log in.,medium,src=gold_042
gold_007,444292,444291,@115850 Asked Amazon for help... They refused saying account is not merged with my e-mail ID.. I also told them that my account is hacked and my alternate mobile number is still merged with the account but they refused... Moron Agents. Didn't understand the problem. 0% security.,"customer: This is your last chance to get exciting discounts of up to 60% off on small and large home appliances. Hurry and shop now, only on Amazon! https://t.co/kEJ7w6aC15 https://t.co/HzOTC8VF7e",account_access,escalate,Account security/access requires identity verification.,medium,src=gold_054
gold_008,572411,572411,"@AmazonHelp 
We are in the process of arguing with a less than helpful customer service rep. Our prime account has been hacked and this guy wanted to waste 24 hours with our bank information. Not happy!",,account_access,escalate,Hacked prime account.,hard,src=gold_065
gold_009,680395,680395,"@AmazonHelp MWS Developer here. When I login it says ""Seller Account Closed"" due to inactivity. How to reopen?",,account_access,escalate,Account security/access requires identity verification.,medium,src=gold_068
gold_010,1771724,1771713,"@AmazonHelp Ok, thanks, I think this is all sorted now. Bw /Alex","brand: @229958 We will do our best Alex. Keep us posted once you get in touch with us directly. Hopefully you will both be back to enjoying the hols together! 😎 😎 🍹^NV
customer: @AmazonHelp I just reset my password. The website refused to accept it, then I see this. Amazon, what IS going on with my account?? https://t.co/3O1NMQ59xO
customer: @AmazonHelp Please could somebody get back to me - I can't reset my password and cannot sign in. I can't call the 0808 number from abroad to get help by phone. I'm stuck now and my girlfriend has left me for another man with a working Amazon Prime membership... ;-(
brand: @229958 I'm very sorry to hear this, Alex. In the link provided by ^AT there's an option to contact us by e-mail so our account specialist may get this sorted out for you. ^TH",account_access,escalate,Account security/access requires identity verification.,medium,src=gold_147
gold_011,1883505,1883505,@115821 my account has been hacked &amp; my email address changed. No number to call you. Help!!!,,account_access,escalate,Account security/access requires identity verification.,medium,src=gold_149
gold_012,2377209,2377209,@AmazonHelp Someone hacked my account and changed the email and password so I no longer have control of it at all. Someone help me please get my account back and tell me how I go about getting in contact with someone to help me.,,account_access,escalate,Account security/access requires identity verification.,medium,src=gold_173
gold_013,2902484,2902483,@AmazonHelp I just spoke with customer service last week (and have a 5 or 6 times before regarding this) and all they do is try and do a password reset. I'm still waiting for the account specialist to contact me to disable the 2-step. It's been 3 months when it should have been 1-2 days.,"customer: @AmazonHelp what do I need to do to disable 2-step verification on my account which i am locked out of? I've called customer support several times over the last couple months and have initiated the 2-step verification account recovery. Nothing else has been done to resolve this.
brand: @803914 Hey there! Please reach out to us by phone here: https://t.co/jzvkhdlrK5 so that we can look into this with you. Talk to you soon! ^KJ",account_access,escalate,Account security/access requires identity verification.,medium,src=gold_209
gold_014,158773,158773,"I love how whenever you want to cancel or return am order from @115830 there is always an error and won't cancel it!!! 

Funny how when you spend money, or they take money from your account, they never seem to have a problem!!!",,cancellation_request,auto_handle,,medium,src=gold_017
gold_015,313713,313707,@AmazonHelp Try to buy any product from Amazon,"customer: @AmazonHelp Then he told me that I will deliver your product tomorrow morning then I'm waiting this morning but suddenly the delivery boy changes
customer: @AmazonHelp And he don't know about previous conversation of that guy and I called him and asked when he will deliver my product he told he will deliver
customer: @AmazonHelp After 12pm then I told them I have also many works yesterday you guys told me you deliver in morning and suddenly you change
customer: @AmazonHelp Then he become aggressive afterthat I cancel my order and please I promised you this is my last order last log in after my refund I never",cancellation_request,auto_handle,,easy,src=gold_038
gold_016,416695,416699,"@AmazonHelp I want to cancel the order, please refund me the money. This is very poor from your side. Never keep your costumer on hold.","brand: @214410 Apologies for the trouble. I see that the product is being returned to the seller. Kindly place a new order. ^AK (1/2)
brand: @214410 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to the public. ^AK 2/2
customer: @115850 @115850 my mobile number is 8298838369 
Please refund me or send the delivery fast
customer: @AmazonHelp and what about refund?",cancellation_request,auto_handle,,medium,src=gold_051
gold_017,1104513,1104513,@AmazonHelp I have a subscription free trial. I want to cancel it before billed but it won’t show up in my subscriptions. How do I cancel it,,cancellation_request,auto_handle,,easy,src=gold_097
gold_018,1489129,1489131,@AmazonHelp But I'm impatient. I could cancel the order and order from .com instead of .co.uk but I don't understand why I should have to (2),"customer: .@115830 I pre-ordered this book with you, now you don't know when you'll be able to get a copy to me? Any updates? https://t.co/BvGKNq4cH1
brand: @465875 Hey, what delivery method did you choose for it? Also were you emailed regarding the order? ^AS
customer: @AmazonHelp I was emailed regarding the order, allowed to cancel the order free of charge, and told I'd get an email when you had a delivery date. (1)",cancellation_request,auto_handle,,easy,src=gold_125
gold_019,1491876,1491869,@AmazonHelp I've not been charged yet and your app will not let me cancel the order.,"brand: @466458 Sorry to hear this. Without sharing personal/account info, can you please advise what happened ? ^TD
customer: @AmazonHelp Game was pre-ordered in May and today I've received an email stating ""We're still trying to obtain the item(s) which you ordered""
brand: @466458 Hi, sorry to hear that, what shipment speed did you choose when ordering? Have you been charged for the order? ^AS
customer: @AmazonHelp I'm a Prime member so it should have been delivered today.",cancellation_request,auto_handle,,easy,src=gold_126
gold_020,1525097,1525096,@AmazonHelp 3days 5calls 2hours - Amazons only solution - cancel order as the courier says he can't find your address. It's 1 mile away from Amazon !!!,"customer: @116324 @115830 Prime next day package. 3 days of lies and now cancelled. KY11 8UE code ""they couldn't find on Google"" 35 yr old address
brand: @473714 Oh no!  Let us look into this. Please contact vi phone or chat here: https://t.co/JzP7hlA23B ^DA",cancellation_request,auto_handle,,easy,src=gold_129
gold_021,2309717,2309718,"@AmazonHelp Guys, any help? Yes? No? Can't help? Cancel order? Or simply '@115850 doesn't given a F**K? His number is still unreachable","customer: Monday morning delivery by @115850 - an apt start to the week :D https://t.co/4Hze77cz21
brand: @669901 That's what we like to hear! You're welcome. ^AK
customer: @AmazonHelp Order #407-2036374-6545968. Agent contact - 8884191625. Unable to reach him. Phone switched off. Can you help with alternate number? Need to know ETA of order",cancellation_request,auto_handle,,easy,src=gold_169
gold_022,2856692,2856690,@AmazonHelp I can't see cancel order that why m letting u know why cant u provide a option dere n dere to stop it rathar waiting?,"customer: Why @115850  @AmazonHelp dont have option to cancel product. I have got cheaper than u on @109476  so i dont want from u. Kindly refund asap https://t.co/mSonJJSgSh
brand: @168220 You can use the stop &amp; return option or reject the order during the delivery. Call us here: https://t.co/vlvfJr4nN9 to request a stop and return. ^MJ
brand: @168220 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ
customer: @AmazonHelp Why cant u stop it right now. I do not have patience to track ur order and m not taking it.",cancellation_request,auto_handle,,easy,src=gold_200
gold_023,2884078,2884078,"@115830 helloooo, I accidentally ‘requested cancellation’ on an order I didn’t want to cancel 😰😰",,cancellation_request,auto_handle,,easy,src=gold_204
gold_024,1119113,1119111,@AmazonHelp So you want me to cancel my order placed???,"customer: .@115850 ORDER # 403-1563848-1833109 will take over a month to reach gujarat??? how ???
brand: @119350 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^AH
brand: @119350 I understand your concern regarding the delivery. Please reach out to us here: https://t.co/vlvfJr4nN9 for assistance 1/2 ^AH
customer: @AmazonHelp I had no other choice.",cancellation_request,auto_handle,,easy,topup:cancellation_request
gold_025,114448,114450,"@115850 @115850 , No action was taken status is still showing “not yet dispatched” ,again a false promise like last time wait till due date and contact us after due date and when i will contact after due date ,will be told to cancel the order and reorder again.","customer: @115850 &amp; again happening with my 2nd order.My order no. is 405-7015545-3145145. I contacted 3 times to CC but it still showing not yet dispatched.
brand: @141442 Thank you for bringing your recent order shipping issue to our notice, Akanksha. We would like to look into this for you, kindly fill this form: https://t.co/GIJyeYqKE0 and we'll contact shortly. ^MP 1/2
brand: @141442 Please don't provide your order number, we consider it to be personal information. Our Twitter page is visible to the public. ^MP 2/2",cancellation_request,auto_handle,,easy,topup:cancellation_request
gold_026,21428,21447,@115850 i want to cancel my order but there is no option of cancellation Help I have made e-payment by debit card,"brand: @745935 details, we consider it to be personal information. Our page is visible to the public. (3/3)^SF
customer: @AmazonHelp I responded to that mail only. U people escaping the issue. If the attached letter not valid than y kept me waiting all these 30 days ?
brand: @127186 I get your concern. We've received your revert and we'll reach out to you soon. ^GK
customer: @115850 Never ever buy anything from this fucking website, their service is very https://t.co/Lu50JL4RHv websites are@myntra and@ flipkart.",cancellation_request,auto_handle,,easy,topup:cancellation_request
gold_027,42573,42573,"Trying to cancel an order on @115821 but the website and app page come up blank when I hit ""cancel order"" @AmazonHelp",,cancellation_request,auto_handle,,easy,topup:cancellation_request
gold_028,105191,105191,And they still haven't sent my order i recently just ordered w/ my birthday gift card ughh wessup @115821 🤔 https://t.co/kf7STZZnvk,,delivery_delay,auto_handle,,medium,src=gold_008
gold_029,108208,108208,"@115850 what's wrong with you guys, it's been 4days &amp; product was not dispatched yet &amp; the expected delivery date is 24-27 Nov, how funny it is? https://t.co/E1cKnvsRJn",,delivery_delay,auto_handle,,easy,src=gold_011
gold_030,156707,156707,"@amazonhelp hi again, I ordered something early hours of this morning for prime delivery on the 27th (which is fine), but now if I look at the item (not the order) it says ""out of stock until 28th"", will I still receive my order on the 27th? (Sorry for the long tweet)",,delivery_delay,auto_handle,,medium,src=gold_016
gold_031,215065,215063,It’s now half an hour late wtf @115821,customer: Amazon has 1 minute to deliver my package,delivery_delay,auto_handle,,easy,src=gold_025
gold_032,295831,295826,@AmazonHelp I pre-ordered on 5th Aug. It was released 10 Sep. I have prime and its not here. I would say its a bit late :),"customer: Look, what's in the post today! #CleanCode Architecture from @32742! Hooray, going to be an exciting weekend! 🤠 https://t.co/BYIJQRGnlG
customer: @186455 @32742 pfft still waiting for my copy. Sort it out @115830
brand: @186454 Have we missed a delivery date? ^TR",delivery_delay,auto_handle,,easy,src=gold_036
gold_033,407906,407899,@AmazonHelp A full refund because the order was delivered to the wrong address. It wasn't! It arrived today!,"customer: @AmazonHelp I ordered an item via amazon prime on Thursday 5th October and it didn't arrive until today 9th October. I have now had 2 late prime
customer: @AmazonHelp Deliveries in the space of a week.When I emailed customer services I was told 3 completely different things by 3 different cs reps
customer: @AmazonHelp all of which were incorrect. First I was told it was delivered (it wasn't), then I was told there was no tracking information (there was)
customer: @AmazonHelp then I was told it was delivered to the wrong address (it wasn't - it arrived today). Now I've been told by a 4th person that i am getting",delivery_delay,auto_handle,,hard,src=gold_049
gold_034,511667,511666,@AmazonHelp If your Due Diligence were as quick as your automated tweet replies my package might not be three days late.,"customer: Add another day with no answers to the missing package that I ordered from @115821 2 day shipping-6 days ago. Starting to get frustrating.
brand: @224611 We aim to process orders as quickly as possible and with due diligence, my apologies if we have missed the mark. Which carrier was assigned delivery of the order. The order details provide the information, which you can get to from here:  https://t.co/Y5jpI9gRhE ^CH",delivery_delay,auto_handle,,medium,src=gold_060
gold_035,543565,543560,@AmazonHelp  https://t.co/exepfSV89K,"brand: @246250 Thank you for providing your tracking number.I am sorry that your package has been delayed. I am showing that this package is still with Amazon and has not been turned over to UPS as of yet. Once Amazon turns this trailer over to UPS the delivery date will be revised.
customer: @UPSHelp @AmazonHelp please read above. The issue is on your end.
customer: @UPSHelp @AmazonHelp please stop telling me the package will be delivered today. Clearly it won’t be.
brand: @246250 Thank you for contacting us, Jayme! I am sorry you have not received your package. We are here to help! Just to clarify, can you tell us what the current order status is showing here: https://t.co/Y5jpI9gRhE ^SC",delivery_delay,auto_handle,,medium,src=gold_062
gold_036,555374,555374,"@115850  where is my phone?
@132994  pls help ur authorised partner is nt capable of delivering product even after taking money @118702  u r much betyer then these firangi companies #MakeInIndia",,delivery_delay,auto_handle,,medium,src=gold_063
gold_037,703007,703002,@AmazonHelp Can you expedite shipping? I didn't cancel the order. Amazon claims it was fraudulent but when I was called I confirmed it wasn't fraudulent within an hour of placing the order.,"customer: Wow @115821 thanks for hanging up on me when I'm trying to get my orders delivered on orders you cancelled for no reason. #stoplyingtome #iaskedtobetransfered #iwanttotalktoyoursupervisor
brand: @287922 I'm so sorry for the inconvenience! When you contacted us, what options were given? We're always here to help out! ^MH
customer: @AmazonHelp I was told to replace my order but that makes the safety equipment too late for the people that need it. So I requested they place the order to get it here by the original delivery date. Upon asking for that I was told ""anything else?"". I never got an answer then they hung up.
brand: @287922 Please fill out the survey we send to you by e-mail after you contact us. Your feedback will be reviewed &amp; addressed. We're unable to reinstate canceled orders. ^CO",delivery_delay,escalate,Fraud-cancelled order needs restore/expedite.,hard,src=gold_071
gold_038,826245,826248,@115821 @4822 Still waiting for our product to be available. Over a month now. 719 units in “FC Processing”. This is brutal for a #smallbusiness,"brand: @316805 I'm sorry for any frustration. When you spoke with us, what insight were we able to offer? ^WT
customer: @AmazonHelp None- I've been told mult. times that the matter has been escalated and they're reaching out to the fulfillment center. 29 days, cust compla
brand: @316805 I'd like to have a member of my team investigate this further. Please provide your details here: https://t.co/xIAscTO5O6 ^MB
customer: @AmazonHelp I filled out the form and supplied case ID 4520336711. That should have all information.",delivery_delay,auto_handle,,easy,src=gold_077
